卫视,#genre#
tvgid= 东南卫视 tvgname= 东南卫视 tvglogo= https://epg.v1.mk/logo/东南卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221227670/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227553/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227553/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227670/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221225816/index.m3u8
tvgid= 东方卫视 tvgname= 东方卫视 tvglogo= https://epg.v1.mk/logo/东方卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221227597/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227486/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227732/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227511/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227396/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227688/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221228150/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227396/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227597/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227732/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227688/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228150/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227486/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227208/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227511/index.m3u8
tvgid= 兵团卫视 tvgname= 兵团卫视 tvglogo= https://epg.v1.mk/logo/兵团卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221227654/index.m3u8
tvgid= 内蒙古卫视 tvgname= 内蒙古卫视 tvglogo= https://epg.v1.mk/logo/内蒙古卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221225836/index.m3u8
tvgid= 农林卫视 tvgname= 农林卫视 tvglogo= https://epg.v1.mk/logo/农林卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221227015/index.m3u8
tvgid= 南方卫视 tvgname= 南方卫视 tvglogo= https://epg.v1.mk/logo/南方卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221227005/index.m3u8
tvgid= 厦门卫视 tvgname= 厦门卫视 tvglogo= https://epg.v1.mk/logo/厦门卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221227604/index.m3u8
tvgid= 天津卫视 tvgname= 天津卫视 tvglogo= https://epg.v1.mk/logo/天津卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221227488/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228416/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227741/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227756/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221228416/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221225808/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227407/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227382/index.m3u8#http://ott.mobaibox.com/PLTV/4/224/3221227633/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227382/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227633/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227212/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227741/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228239/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227407/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227488/index.m3u8
tvgid= 宁夏卫视 tvgname= 宁夏卫视 tvglogo= https://epg.v1.mk/logo/宁夏卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221227563/index.m3u8
tvgid= 安多卫视 tvgname= 安多卫视 tvglogo= https://epg.v1.mk/logo/安多卫视.png grouptitle= 卫视,http://ott.mobaibox.com/PLTV/4/224/3221227651/index.m3u8
